index_counter,name,latitude,longitude,region,auth_area,elevation
0,Carlisle Airport,54.9375,-2.8092,North West,Cumbria,50
1,Liverpool John Lennon Airport,53.3336,-2.85,North West,Merseyside,22
2,Scatsta,60.4322,-1.2992,Orkney and Shetland,Shetland Islands,25
3,Kinloss,57.6494,-3.5606,Eastern Scottish Highlands,Moray,7
4,Lossiemouth,57.712,-3.322,Eastern Scottish Highlands,Moray,6
5,Wick John O Groats Airport,58.454,-3.089,Northern Scottish Highlands,Highland,36
6,Braemar,57.006,-3.397,Eastern Scottish Highlands,Aberdeenshire,339
7,Baltasound,60.749,-0.854,Orkney and Shetland,Shetland Islands,15
8,Lerwick (S. Screen),60.139,-1.183,Orkney and Shetland,Shetland Islands,82
9,Fair Isle,59.527,-1.628,Orkney and Shetland,Shetland Islands,57
10,Foula,60.111,-2.063,Orkney and Shetland,Shetland Islands,22
11,Aultbea,57.859,-5.636,Northern Scottish Highlands,Highland,11
12,Skye/Lusa,57.257,-5.809,Northern Scottish Highlands,Highland,18
13,Altnaharra Saws,58.288,-4.442,Northern Scottish Highlands,Highland,81
14,Tulloch Bridge,56.867,-4.708,Northern Scottish Highlands,Highland,237
15,Dalwhinnie,56.933,-4.233,Northern Scottish Highlands,Highland,351
16,Killowen,54.067,-6.183,Northern Ireland,County Down,4
17,Langdon Bay,51.133,1.348,South East,Kent,117
18,Scilly St Marys,49.913,-6.301,South West,Isles of Scilly,31
19,Cardinham,50.502,-4.667,South West,Cornwall,200
20,Isle Of Portland,50.522,-2.454,South West,Dorset,52
21,Southampton W.C.,50.901,-1.403,South East,Southampton,19
22,Shoreham,50.836,-0.292,South East,West Sussex,13
23,Jersey,49.2079,-2.1955,South West,Jersey,84
24,Ballykelly,55.057,-7.008,Northern Ireland,County Londonderry,4
25,Lough Fea,54.721,-6.814,Northern Ireland,County Londonderry,225
26,Portglenone Samos,54.865,-6.457,Northern Ireland,County Antrim,64
27,Ballypatrick Forest,55.181,-6.153,Northern Ireland,County Antrim,156
28,Larne,54.852,-5.83,Northern Ireland,County Antrim,43
29,Valentia Observatory,51.933,-10.25,Republic of Ireland,Ireland,25
30,Monks Wood,52.4,-0.233,Eastern England,Cambridgeshire,41
31,Wisley,51.317,-0.467,South East,Surrey,38
32,North Wyke,50.767,-3.9,South West,Devon,177
33,Helens Bay,54.667,-5.75,Northern Ireland,County Down,43
34,Keele,52.99,-2.27,West Midlands,Staffordshire,178
35,Shobdon Saws,52.242,-2.885,West Midlands,Herefordshire,99
36,Hereford,52.083,-2.8,West Midlands,Herefordshire,75
37,Coleshill,52.48,-1.689,West Midlands,Warwickshire,96
38,Bedford,52.225,-0.464,Eastern England,Bedford,85
39,Pembrey Sands,51.713,-4.368,Wales,Carmarthenshire,3
40,Little Rissington (Esaws),51.86,-1.692,South West,Gloucestershire,210
41,High Wycombe,51.68,-0.802,South East,Buckinghamshire,204
42,Northwood,51.6169,-0.4,Eastern England,Hertfordshire,113
43,Andrewsfield,51.896,0.453,Eastern England,Essex,87
44,St-Athan,51.405,-3.44,Wales,Vale of Glamorgan,49
45,Lyneham,51.5031,-1.9924,South West,Wiltshire,145
46,Farnborough,51.279,-0.772,South East,Hampshire,72
47,Dundrennan,54.803,-4.008,Scottish Border,Dumfries and Galloway,113
48,Drumalbin,55.627,-3.735,Western Scotland,South Lanarkshire,245
49,Eskdalemuir,55.311,-3.206,Scottish Border,Dumfries and Galloway,242
50,Edinburgh/Gogarbank,55.928,-3.343,Scottish Border,Edinburgh,57
51,Warcop,54.572,-2.413,North West,Cumbria,227
52,Redesdale Camp,55.285,-2.279,North East,Northumberland,211
53,Albemarle,55.02,-1.88,North East,Northumberland,146
54,Leeming,54.296,-1.53,Yorkshire & Humber,North Yorkshire,32
55,Dishforth Airfield,54.134,-1.414,Yorkshire & Humber,North Yorkshire,33
56,Linton On Ouse,54.045,-1.25,Yorkshire & Humber,North Yorkshire,14
57,Llanbedr,52.802,-4.124,Wales,Gwynedd,9
58,Cottesmore,52.727,-0.654,East Midlands,Rutland,138
59,Wittering,52.6111,-0.459,Eastern England,Peterborough,73
60,Marham,52.651,0.569,Eastern England,Norfolk,21
61,Howwood,55.8062,-4.57112,Western Scotland,Renfrewshire,39
62,Liverpool,53.4113,-2.9887,North West,Merseyside,19
63,Torquay,50.4614,-3.5241,South West,Torbay,4
64,Cowes,50.7623,-1.2991,South East,Isle of Wight,22
65,Ilfracombe,51.2047,-4.1256,South West,Devon,28
66,Pembroke,51.6731,-4.9084,Wales,Pembrokeshire,9
67,Perth,56.3951,-3.4294,Central Scotland,Perth and Kinross,3
68,St. Ives,50.2113,-5.4813,South West,Cornwall,24
69,Aylesbury,51.8152,-0.8069,South East,Buckinghamshire,78
70,Lancaster,54.0464,-2.7993,North West,Lancashire,19
71,Stranraer,54.9033,-5.0228,Scottish Border,Dumfries and Galloway,7
72,Enniskillen,54.3446,-7.6313,Northern Ireland,County Fermanagh,52
73,Manchester,53.479,-2.2465,North West,Greater Manchester,36
74,Nottingham,52.9545,-1.1565,East Midlands,Nottingham,61
75,Plymouth,50.3713,-4.1348,South West,Plymouth,15
76,Bath,51.3754,-2.3585,South West,Bath and North East Somerset,50
77,Colchester,51.8955,0.8936,Eastern England,Essex,4
78,Corby,52.4902,-0.6822,East Midlands,Northamptonshire,102
79,Dunfermline,56.0718,-3.4507,Central Scotland,Fife,93
80,Gillingham (Kent),51.3858,0.5531,South East,Medway,40
81,Greenock,55.9565,-4.7707,Western Scotland,Inverclyde,19
82,Harlow,51.7674,0.0894,Eastern England,Essex,69
83,Ipswich,52.0563,1.1499,Eastern England,Suffolk,6
84,Middlesbrough,54.5741,-1.2334,North East,Middlesbrough,6
85,Newport,51.5837,-2.9963,Wales,Newport,46
86,Poole,50.7139,-1.9866,South West,Poole,2
87,Scunthorpe,53.5884,-0.6528,Yorkshire & Humber,North Lincolnshire,41
88,St. Albans,51.7529,-0.3357,Eastern England,Hertfordshire,113
89,Stafford,52.8064,-2.1192,West Midlands,Staffordshire,76
90,Whitehaven,54.5496,-3.5879,North West,Cumbria,3
91,Aberfeldy,56.6218,-3.8656,Central Scotland,Perth and Kinross,89
92,Londonderry (Derry),54.9952,-7.3227,Northern Ireland,County Londonderry,35
93,Montrose,56.707,-2.4646,Central Scotland,Angus,1
94,Grangemouth,56.0189,-3.7184,Central Scotland,Falkirk,3
95,Granton,55.9828,-3.232,Scottish Border,Edinburgh,9
96,Haslingden,53.7052,-2.3275,North West,Lancashire,228
97,Hayes,51.5,-0.42,South East,Greater London,32
98,Heysham,54.0418,-2.8931,North West,Lancashire,29
99,Immingham,53.6138,-0.2143,Yorkshire & Humber,North East Lincolnshire,5
100,Nottingham,52.92,-1.08,East Midlands,Nottinghamshire,42
101,Finnart,56.67,-4.42,Central Scotland,Perth and Kinross,277
102,Fleetwood,53.9165,-3.0343,North West,Lancashire,4
103,Brightlingsea,51.8157,1.0231,Eastern England,Essex,17
104,Truro,50.2627,-5.05,South West,Cornwall,3
105,Lochaline,56.54,-5.79,Northern Scottish Highlands,Highland,66
106,Seaham,54.8402,-1.3359,North East,Durham,27
107,Tarbert,55.87,-5.42,Western Scotland,Argyll and Bute,144
108,Teesport,54.59,-1.15,North East,Redcar and Cleveland,7
109,Cheadle (Staffordshire),52.9846,-1.985,West Midlands,Staffordshire,162
110,Dorchester,50.7138,-2.4381,South West,Dorset,71
111,Newton Stewart,54.9602,-4.4819,Scottish Border,Dumfries and Galloway,14
112,Salcombe,50.237,-3.7686,South West,Devon,45
113,Windsor,51.4813,-0.612,South East,Windsor and Maidenhead,23
114,Abersoch,52.8242,-4.5042,Wales,Gwynedd,9
115,Portree,57.4127,-6.1949,Northern Scottish Highlands,Highland,5
116,King's Lynn,52.7561,0.4019,Eastern England,Norfolk,5
117,Kirkcaldy,56.1147,-3.1517,Central Scotland,Fife,6
118,Woking,51.3156,-0.5594,South East,Surrey,37
119,Ashford,51.146,0.8767,South East,Kent,45
120,Kingston Upon Thames,51.4119,-0.2991,South East,Greater London,4
121,Maidenhead,51.522,-0.7204,South East,Windsor and Maidenhead,27
122,Uckfield,50.9659,0.0975,South East,East Sussex,37
123,Hawick,55.427,-2.7795,Scottish Border,Scottish Borders,98
124,Alloa,56.1141,-3.7905,Central Scotland,Clackmannanshire,12
125,Amersham,51.6751,-0.6057,South East,Buckinghamshire,150
126,Castleford,53.7232,-1.3444,Yorkshire & Humber,West Yorkshire,19
127,Church Stretton,52.5404,-2.8021,West Midlands,Shropshire,189
128,Dunbar,56.0021,-2.5152,Scottish Border,East Lothian,20
129,Eyemouth,55.869,-2.0895,Scottish Border,Scottish Borders,14
130,Fort Augustus,57.1441,-4.6798,Northern Scottish Highlands,Highland,23
131,Glencoe,56.6848,-5.0993,Northern Scottish Highlands,Highland,10
132,Henley On Thames,51.5353,-0.9014,South East,Oxfordshire,35
133,Hinckley,52.5451,-1.3752,East Midlands,Leicestershire,116
134,Ludlow,52.3674,-2.7125,West Midlands,Shropshire,100
135,Mansfield,53.1469,-1.1971,East Midlands,Nottinghamshire,110
136,Peebles,55.6531,-3.1922,Scottish Border,Scottish Borders,162
137,Rampton,53.2985,-0.7998,East Midlands,Nottinghamshire,8
138,Rotherham,53.4294,-1.3575,Yorkshire & Humber,South Yorkshire,24
139,Stenhousemuir,56.0289,-3.8094,Central Scotland,Falkirk,25
140,Sutton Coldfield,52.5701,-1.8226,West Midlands,West Midlands Conurbation,142
141,Walsall,52.5859,-1.9815,West Midlands,West Midlands Conurbation,121
142,Warminster,51.2042,-2.1797,South West,Wiltshire,112
143,Widnes,53.3608,-2.7322,North West,Halton,9
144,Cromer,52.9311,1.3036,Eastern England,Norfolk,15
145,Haverhill,52.0869,0.4328,Eastern England,Suffolk,72
146,Ruthin,53.1145,-3.3095,Wales,Denbighshire,71
147,Formby,53.558,-3.0674,North West,Merseyside,8
148,Llandovery,51.9964,-3.8007,Wales,Carmarthenshire,65
149,Okehampton,50.7378,-4.0031,South West,Devon,155
150,Pickering,54.2437,-0.7759,Yorkshire & Humber,North Yorkshire,34
151,Wembley Stadium,51.55602,-0.27956,South East,Greater London,36
152,Dungeness B,50.9134,0.9597,South East,Kent,5
153,Sheffield Cdl,53.383,-1.483,Yorkshire & Humber,South Yorkshire,131
154,Northamptonmoulton Park,52.273,-0.879,East Midlands,Northamptonshire,127
155,Altnahinch Filters,55.048,-6.254,Northern Ireland,County Antrim,213
156,Murlough,54.245,-5.83,Northern Ireland,County Down,12
157,London  Olympic Park North,51.542,-0.017,South East,Greater London,21
158,Sudeley Castle Gardens,51.9488,-1.9669,South West,Gloucestershire,100
159,Sullom Voe,60.4517,-1.3125,Orkney and Shetland,Shetland Islands,0
160,Suntrap,55.9264,-3.3223,Scottish Border,Edinburgh,57
161,Suton,52.549,1.0927,Eastern England,Norfolk,40
162,Swadlincote Ski Centre,52.7638,-1.5483,East Midlands,Leicestershire,113
163,Swinton (Greater Manchester),53.5119,-2.3398,North West,Greater Manchester,68
164,Tattenhoe,51.9964,-0.7845,South East,Milton Keynes,102
165,Taunton Racecourse,50.9842,-3.0851,South West,Somerset,51
166,Tees Bay,54.6567,-1.1436,North East,Redcar and Cleveland,0
167,Telford Wonderland,52.6709,-2.4352,West Midlands,Telford and Wrekin,130
168,Telscombe Youth Hostel,50.8084,-0.0118,South East,East Sussex,99
169,Temple,55.8943,-4.3358,Western Scotland,Glasgow,28
170,The Alnwick Garden,55.4136,-1.6982,North East,Northumberland,53
171,Burley Youth Hostel,50.8238,-1.6892,South East,Hampshire,65
172,Burnham-On-Crouch,51.6279,0.8162,Eastern England,Essex,6
173,Burton Latimer,52.3655,-0.6766,East Midlands,Northamptonshire,70
174,Buscot Park,51.6652,-1.6462,South East,Oxfordshire,99
175,Byker,54.9717,-1.5706,North East,Newcastle upon Tyne,51
176,Caistor,53.4972,-0.3138,East Midlands,Lincolnshire,88
177,Cambuslang,55.821,-4.1636,Western Scotland,South Lanarkshire,20
178,Camelford,50.6216,-4.6812,South West,Cornwall,219
179,Campbeltown Airport,55.4445,-5.6957,Western Scotland,Argyll and Bute,14
180,Canford Heath,50.7488,-1.9721,South West,Poole,10
181,Cardigan,52.0834,-4.6597,Wales,Ceredigion,10
182,Learnie Red Rock Mountain Bike Trail Centre,57.6238,-4.1154,Northern Scottish Highlands,Highland,146
183,Lecht Ski Centre Low Level,57.215,-3.2662,Eastern Scottish Highlands,Moray,559
184,Lees,53.5386,-2.0681,North West,Greater Manchester,190
185,Leicester Racecourse,52.6008,-1.0939,East Midlands,Leicestershire,87
186,Leiston,52.2086,1.5759,Eastern England,Suffolk,14
187,Lemington,54.9807,-1.7196,North East,Newcastle upon Tyne,41
188,Leonardslee Gardens,51.0193,-0.2534,South East,West Sussex,58
189,Lerwick,60.1536,-1.1435,Orkney and Shetland,Shetland Islands,18
190,Leslie,56.2005,-3.2129,Central Scotland,Fife,124
191,Lesmahagow,55.6376,-3.8852,Western Scotland,South Lanarkshire,169
192,Lessingham,52.7996,1.5521,Eastern England,Norfolk,0
193,Lewes,50.8734,0.0104,South East,East Sussex,32
194,Liberton,55.9132,-3.1586,Scottish Border,Edinburgh,106
195,Lifton,50.6451,-4.2816,South West,Devon,84
196,Lilleshall National Sports Centre,52.7321,-2.3896,West Midlands,Telford and Wrekin,92
197,Limehurst,53.5101,-2.103,North West,Greater Manchester,127
198,Linford Wood,52.0553,-0.7703,South East,Milton Keynes,102
199,Linlithgow,55.974,-3.6014,Scottish Border,West Lothian,72
200,Linton Youth Hostel,54.0563,-1.9981,Yorkshire & Humber,North Yorkshire,222
201,Little Horwood,51.9687,-0.8485,South East,Buckinghamshire,119
202,Littleport,52.4563,0.309,Eastern England,Cambridgeshire,6
203,Litton Cheney Youth Hostel,50.7073,-2.6367,South West,Dorset,48
204,Liverpool Youth Hostel,53.3811,-2.9718,North West,Merseyside,10
205,Llandaff,51.4923,-3.2132,Wales,Cardiff,19
206,Llandudno,53.3238,-3.8263,Wales,Conwy,1
207,The Gleneagles Hotel,56.2736,-3.7597,Central Scotland,Perth and Kinross,149
208,The Oxfordshire Golf Club,51.7354,-1.0017,South East,Oxfordshire,78
